#{"t_start": 1738173668.0426607, "env_id": "CustomHopperWithObstacles-source-v0"}
r,l,t
285.284306,115,22.975506
281.737792,114,23.040554
281.568527,114,23.106039
281.298827,114,23.169069
278.854005,113,23.230949
275.7392,112,23.289217
277.038526,112,23.346209
275.996668,112,23.403225
272.259094,111,23.459647
270.230551,110,23.515427
269.861321,110,23.571166
265.960116,109,23.626435
267.385353,109,23.681806
266.567319,109,23.737493
264.144337,108,23.7938
263.370102,108,23.848671
259.948496,107,23.902944
259.391851,107,23.957206
259.015958,107,24.011587
256.408714,106,24.065394
257.15016,106,24.120094
258.195087,106,24.175045
253.883964,105,24.229774
254.146015,105,24.284266
250.994341,104,24.338144
250.064376,104,24.392756
200.570926,88,25.263864
187.775051,90,25.339755
212.844794,99,25.423267
198.581616,87,25.49668
107.367773,59,25.546327
106.02753,55,25.59405
141.736331,69,25.652525
124.654623,65,25.707335
59.183524,34,25.736112
69.163848,38,25.768103
223.734646,96,25.848611
103.295974,54,25.89423
126.395291,66,25.949865
238.489183,104,26.040306
116.6154,58,26.090989
59.539966,35,26.121906
110.634011,59,26.174273
80.12111,45,26.213641
225.845425,107,26.303587
233.626919,101,26.388203
160.185927,77,26.452424
79.414658,43,26.488354
204.828246,88,26.56179
195.602412,94,26.639904
141.843782,69,26.697612
279.231441,121,26.799488
187.023285,84,26.869288
82.255054,48,26.909276
210.719142,91,26.987393
208.691275,90,27.038936
210.682512,91,27.091002
208.305218,90,27.142588
210.479008,91,27.194667
208.336332,90,27.246154
210.620198,91,27.298266
210.170347,91,27.350427
210.987722,91,27.403192
210.109144,91,27.455365
208.861153,90,27.506938
211.195429,91,27.559283
211.307681,91,27.611392
211.09558,91,27.663646
213.343442,92,27.717083
211.18578,91,27.770292
208.186405,90,27.822775
212.917886,92,27.875538
210.927998,91,27.926538
210.740497,91,27.97622
209.478092,90,28.024237
208.456385,90,28.070515
208.830528,90,28.121079
210.720141,91,28.167465
210.68667,91,28.213798
213.102907,92,28.260585
211.348372,91,28.30689
208.675591,90,28.352635
208.765954,90,28.398532
208.731583,90,28.444204
208.458986,90,28.490048
210.882774,91,28.536385
210.520973,91,28.583823
208.906843,90,28.629723
209.287443,90,28.675722
209.220444,90,28.721423
208.283619,90,28.767284
210.854478,91,28.813766
211.257356,91,28.860156
210.923097,91,28.906587
210.204799,91,28.952934
211.24565,91,28.99932
210.726784,91,29.045482
211.279913,91,29.091674
210.646947,91,29.138208
209.046001,90,29.185227
209.268686,90,29.231161
208.517635,90,29.276894
208.675486,90,29.322735
208.820401,90,29.368561
193.819097,90,30.139472
243.559584,112,30.222537
193.80141,101,30.297879
102.800663,54,30.340811
260.841526,114,30.426381
72.218832,42,30.457707
198.473878,92,30.525725
218.357523,95,30.596212
286.601376,122,30.686787
38.284972,29,30.708434
214.468434,92,30.776958
241.755508,106,30.855254
73.771009,41,30.886262
196.511499,85,30.951619
18.249906,19,30.966341
267.240005,111,31.050125
152.829581,79,31.108725
205.258177,90,31.175506
96.436445,54,31.215825
129.929813,63,31.262696
220.297416,99,31.33604
245.060219,123,31.427306
203.866232,91,31.494705
244.696348,107,31.574209
251.17946,104,31.667549
253.449526,105,31.720933
251.177618,104,31.774395
250.358845,104,31.82724
250.62727,104,31.880922
250.503374,104,31.947
247.432122,103,32.016207
245.344933,102,32.091217
246.933089,103,32.168748
246.603471,103,32.242795
247.7825,103,32.310611
246.08411,103,32.370333
246.97129,103,32.429675
246.058779,103,32.489427
244.294439,102,32.54951
243.782306,102,32.609471
244.203038,102,32.669591
243.985642,102,32.729522
243.273376,102,32.792426
242.210541,101,32.851849
242.430553,102,32.911121
243.382411,102,32.970111
240.820728,101,33.028733
238.745777,100,33.086696
240.293896,101,33.145089
240.474243,101,33.203612
242.528085,102,33.262641
238.118722,100,33.320512
237.057579,100,33.378338
237.405281,100,33.438145
237.077479,100,33.498093
236.685823,100,33.557071
236.619939,100,33.617549
237.16799,100,33.677703
237.196882,100,33.737417
236.126949,100,33.79702
237.045402,100,33.855842
238.910153,101,33.91459
235.018294,99,33.970842
237.177399,100,34.025115
236.975498,100,34.078838
235.96452,100,34.133393
233.902897,99,34.190662
233.993626,99,34.250518
236.508707,100,34.308755
233.343534,99,34.36914
236.30571,100,34.430051
235.650474,100,34.489931
233.238106,99,34.546819
231.841213,98,34.59779
280.837014,112,35.435165
132.393569,65,35.488562
291.815573,130,35.58627
217.302165,92,35.655872
292.662255,119,35.756605
232.017357,100,35.847395
211.688591,94,35.927104
173.941403,89,36.001572
227.840893,100,36.085412
228.790394,98,36.169677
201.720727,89,36.246846
123.95681,62,36.310168
214.864892,102,36.412165
111.904802,57,36.463494
125.887939,63,36.516562
205.575854,92,36.593661
251.47374,111,36.686723
213.09155,93,36.77119
224.526837,97,36.854338
255.136101,102,36.941071
296.823142,117,37.04205
211.602053,91,37.166782
213.67594,92,37.220076
213.826789,92,37.273409
212.268732,91,37.326031
212.019956,91,37.378901
214.719075,92,37.432086
212.728721,91,37.484673
211.680127,91,37.537222
211.671728,91,37.58984
214.41599,92,37.643295
212.092728,91,37.696875
212.264949,91,37.749639
214.694085,92,37.802971
214.142295,92,37.856293
211.903659,91,37.909304
211.755487,91,37.962093
215.845014,93,38.014963
212.407547,91,38.067838
216.550517,93,38.126517
214.503498,92,38.182239
214.224706,92,38.237831
211.564528,91,38.29289
214.601165,92,38.347437
209.782951,90,38.403521
212.393852,91,38.45926
211.654201,91,38.507816
214.585214,92,38.55681
214.328991,92,38.605897
216.356188,93,38.656269
211.961065,91,38.705739
212.418649,91,38.753114
211.431645,91,38.800422
211.703848,91,38.849102
214.221793,92,38.896062
211.929045,91,38.942453
214.396177,92,38.989398
212.15725,91,39.03578
211.723676,91,39.082264
213.736359,92,39.129124
214.110569,92,39.176135
211.652245,91,39.222518
213.805882,92,39.269518
211.914431,91,39.315981
211.736424,91,39.36251
212.480051,91,39.408979
211.887844,91,39.457118
216.616912,93,39.505016
214.403992,92,39.551954
212.17196,91,39.598402
211.623311,91,39.644958
254.159122,104,40.41268
297.80347,124,40.505044
290.156825,110,40.587129
256.995267,111,40.670783
74.167078,43,40.70312
216.600925,92,40.771454
218.479329,99,40.846789
191.60553,93,40.916264
244.018881,107,40.995908
246.879785,104,41.073189
214.989268,92,41.141961
258.805972,109,41.223289
261.45112,114,41.309412
123.49828,63,41.356702
194.7927,87,41.421734
211.518566,97,41.494044
217.545079,91,41.562661
246.339023,108,41.645954
195.30121,84,41.7109
294.177674,128,41.808904
304.6202,117,41.948339
305.824395,118,42.008503
303.96191,117,42.068951
303.613314,117,42.12905
302.424522,117,42.191182
302.480378,117,42.252002
302.739096,117,42.314108
299.998712,116,42.375567
301.782039,117,42.437573
301.445223,116,42.497914
303.185999,117,42.557455
300.821426,116,42.616437
300.417515,116,42.675563
297.741178,115,42.733994
298.09667,115,42.792548
297.406085,115,42.850956
299.923878,116,42.909898
297.604618,115,42.968472
298.724027,116,43.027573
294.820956,114,43.086635
299.96957,116,43.145561
297.48665,115,43.203952
295.069011,114,43.263203
294.251505,114,43.321263
297.713948,115,43.379876
294.600267,114,43.437951
297.356856,115,43.496696
295.324047,114,43.554853
296.436311,115,43.61341
294.088859,114,43.672497
294.143853,114,43.730689
294.799048,114,43.788785
293.567002,114,43.846862
295.007386,115,43.905544
293.656638,114,43.963808
291.072983,113,44.024845
293.906165,114,44.090577
291.473278,113,44.15554
290.915782,113,44.220904
291.174266,113,44.287242
292.069866,113,44.351971
291.73549,113,44.417114
293.654302,114,44.485361
290.474665,113,44.552453
291.053612,113,44.619412
290.563449,113,44.686398
290.800883,113,44.752806
290.514192,113,44.819293
290.3042,113,44.885815
290.797288,113,44.951344
208.631944,93,45.808033
252.158301,105,45.895674
293.063419,118,45.991947
294.227371,117,46.084745
204.215417,88,46.156331
170.070695,78,46.216242
312.470699,128,46.312668
226.788336,94,46.383606
241.872213,102,46.460718
205.901541,89,46.53084
227.338581,94,46.60455
124.16387,65,46.657072
209.823045,92,46.726823
225.48759,94,46.798157
229.151507,97,46.871418
195.776071,84,46.936363
215.566177,105,47.015479
247.99104,105,47.094993
304.995989,133,47.195305
177.935602,79,47.256238
329.234411,127,47.399245
329.572063,127,47.46396
329.445305,127,47.528896
328.19996,126,47.593236
327.487777,126,47.657568
329.410312,127,47.722396
325.913279,125,47.786454
327.617014,126,47.851646
328.214188,126,47.916022
325.907999,125,47.979843
327.721113,126,48.044201
328.108986,126,48.10935
328.15791,126,48.174155
327.976142,126,48.240032
326.044772,125,48.305559
326.147158,125,48.370919
330.028247,127,48.437293
330.504444,127,48.503703
330.628449,127,48.569293
329.015035,126,48.634048
328.500628,126,48.698572
326.774586,125,48.762475
326.232395,125,48.826311
328.251085,126,48.890769
328.558432,126,48.955044
329.10081,126,49.019328
328.687306,126,49.084901
330.247092,127,49.150024
326.536332,125,49.214038
326.611101,125,49.278972
326.042877,125,49.343494
326.393443,125,49.407616
328.636201,126,49.472294
326.496934,125,49.536397
328.855861,126,49.60113
329.016313,126,49.669191
331.003586,127,49.744499
328.472393,126,49.817156
326.909949,125,49.903992
328.735102,126,49.989882
326.603646,125,50.076379
331.253608,127,50.165336
329.645522,126,50.244556
327.329359,125,50.320784
328.654146,126,50.402142
326.25222,125,50.484884
328.265229,126,50.560213
326.693941,125,50.640314
327.063875,125,50.720856
326.808673,125,50.797036
229.371974,95,51.691197
211.639451,89,51.770445
238.017651,108,51.861339
222.021834,93,51.949857
263.081427,108,52.054563
181.56298,84,52.130935
219.552831,93,52.21422
166.565072,76,52.289986
324.090301,122,52.393382
232.036091,100,52.47845
200.525164,87,52.551938
295.279845,127,52.663101
219.832316,90,52.754703
209.510023,92,52.847286
313.088942,127,52.97647
244.133498,112,53.081062
212.139161,96,53.16169
215.342361,95,53.241432
274.214146,121,53.344498
240.086277,97,53.42643
305.025978,117,53.536994
305.394444,117,53.603967
305.399892,117,53.670631
305.484742,117,53.735584
305.722214,117,53.798734
306.370432,117,53.860792
306.277414,117,53.928173
306.337264,117,53.997607
305.413095,117,54.066542
305.390473,117,54.135502
305.6018,117,54.203877
306.377681,117,54.273612
306.793025,117,54.334192
306.549691,117,54.393655
303.403718,116,54.453556
305.852683,117,54.512915
303.40108,116,54.571773
303.630828,116,54.630733
302.832088,116,54.6897
306.089277,117,54.749173
302.924276,116,54.809332
303.500501,116,54.870871
303.460874,116,54.940137
303.515251,116,55.013533
303.707586,116,55.09422
303.685589,116,55.17359
303.084971,116,55.255081
303.850683,116,55.324213
305.78834,117,55.391099
303.893277,116,55.457411
303.230469,116,55.523697
305.675538,117,55.593993
303.480754,116,55.66105
303.2259,116,55.727103
301.143171,115,55.792594
303.216472,116,55.858736
300.663584,115,55.924205
302.433546,116,55.990435
303.276366,116,56.056808
303.819627,116,56.122957
303.281917,116,56.193756
303.656442,116,56.273984
302.833673,116,56.349831
301.116358,115,56.426003
301.832956,115,56.50137
303.490999,116,56.576178
300.850232,115,56.639768
302.946116,116,56.70202
301.577835,115,56.764112
300.644202,115,56.826074
358.717626,130,57.705039
243.755314,100,57.790651
290.111174,117,57.890496
320.300315,128,58.019131
225.125,95,58.116332
259.674438,105,58.221079
249.628478,108,58.330402
302.117646,121,58.453378
283.09912,114,58.548136
45.19949,25,58.569249
263.673489,102,58.655647
267.581676,106,58.744183
292.45302,117,58.843659
321.009127,127,58.950857
290.178165,116,59.047372
250.998408,113,59.143872
285.871624,116,59.258302
281.163708,108,59.362974
218.018106,91,59.437572
309.686963,115,59.519242
306.880902,114,59.578214
307.571561,114,59.642824
310.308624,115,59.709437
310.260181,115,59.776348
309.994412,115,59.842162
309.498613,115,59.909063
309.812297,115,59.974924
309.977204,115,60.039797
309.996047,115,60.103586
309.540948,115,60.16586
312.437415,116,60.2272
307.029767,114,60.285902
309.985467,115,60.347576
312.037147,116,60.41514
309.755608,115,60.482012
312.076375,116,60.550187
309.895656,115,60.617952
307.34283,114,60.684848
309.603045,115,60.752415
309.474583,115,60.814647
309.964681,115,60.872681
309.458812,115,60.930574
