#{"t_start": 1736418931.455324, "env_id": "CustomHopper-target-v0"}
r,l,t
777.513551,241,116.837028
1011.479732,335,117.0465
281.377912,124,117.124447
233.677804,112,117.194779
753.763408,229,118.045626
783.761944,246,118.199162
798.645689,255,118.359478
721.264663,232,118.504545
623.680548,204,118.631922
464.010276,151,118.726354
524.10572,167,118.830856
397.956574,145,118.921507
812.85568,258,119.082523
788.688176,251,119.239293
628.171022,194,120.069513
99.152851,58,120.106009
769.066026,270,120.27514
746.089999,262,120.439035
662.934795,208,120.568952
894.472918,293,120.751892
465.116481,163,120.853962
976.493779,301,121.041823
825.351312,260,121.205078
534.272573,169,122.020714
823.334632,261,122.184642
636.353153,198,122.308858
652.636951,219,122.446408
806.250206,245,122.599901
413.48541,163,122.702146
861.498072,282,122.878813
604.415416,203,123.006209
1036.792287,343,123.220483
615.138858,191,124.13593
780.018592,244,124.306931
751.405163,251,124.482704
511.025083,188,124.614122
549.732566,171,124.733631
815.13921,269,124.921463
770.826503,235,125.085542
918.57491,311,125.302442
502.862059,180,125.428614
533.538076,195,126.339298
820.719365,277,126.533602
789.567188,246,126.70609
199.761082,93,126.771095
784.386979,240,126.928452
574.711442,174,127.03797
824.007446,245,127.19125
481.240495,156,127.288663
773.707761,234,127.434929
733.173079,248,128.32141
787.123942,280,128.518034
781.214243,244,128.689124
695.706431,216,128.840842
1133.43491,350,129.086735
919.579663,311,129.309828
787.304437,302,129.521388
586.205802,213,129.670308
770.869477,254,130.620054
599.696398,197,130.758177
287.633279,131,130.849967
459.363248,173,130.971044
859.49043,272,131.159928
904.573217,295,131.367136
451.916094,170,131.485937
1185.216355,435,131.771169
917.939703,318,132.689064
809.225409,259,132.85774
753.303465,269,133.025654
731.646323,267,133.191888
646.919673,215,133.329888
718.64871,227,133.492368
1002.107315,335,133.728972
604.681743,204,133.872845
824.43429,281,134.844372
762.619741,239,135.012255
587.695569,189,135.144694
734.625866,260,135.327273
596.473416,200,135.46707
797.752086,266,135.653552
970.827318,309,135.86894
1050.64596,345,136.091977
876.221328,279,136.989014
563.265801,200,137.119708
897.406947,293,137.304576
710.103001,234,137.451797
773.548292,257,137.613592
616.770568,189,137.732235
747.833383,252,137.890729
932.725449,306,138.082969
810.96321,252,138.955293
1067.479221,345,139.17248
944.290232,295,139.35752
856.931743,281,139.533485
777.902342,250,139.6902
831.075518,248,139.845523
149.10269,75,139.892905
811.400096,246,140.047025
841.765507,254,140.958542
988.140691,304,141.171024
762.547687,247,141.34375
